city_name,seismic_level,risk_percent
Antofagasta,5,27.98
Calama,5,27.33
Quillota,5,26.95
Quillota,5,26.80
Peñaflor,5,25.25
La Serena,5,24.90
Santiago,5,24.10
Colina,5,23.72
Arica,5,23.21
Concepción,5,23.04
San Fernando,5,22.81
Vallenar,5,22.23
Curicó,5,21.83
Curicó,5,21.19
Concepción,5,20.03
Los Ángeles,5,19.09
Antofagasta,5,18.52
Peñaflor,5,17.00
Vallenar,5,16.71
Curanilahue,5,15.50
Quillota,5,15.33
Coronel,5,14.67
Talcahuano,5,14.25
La Serena,5,14.08
Punta Arenas,5,13.08
Colina,5,12.96
Peñaflor,5,12.76
San Fernando,5,12.08
Curicó,5,12.08
Quilpué,5,11.04
Lota,5,10.81
Curanilahue,5,10.19
Temuco,4, 
Santiago,4, 
San Antonio,4, 
Rancagua,4, 
Quillota,4, 
Ovalle,4, 
Melipilla,4, 
Los Ángeles,4, 
La Serena,4, 
Curanilahue,4, 
Coyhaique,4, 
Chillán,4, 
Angol,4, 
Curanilahue,4,99.88
Coronel,4,99.81
Temuco,4,99.48
Iquique,4,98.97
Quilpué,4,98.91
Puerto Montt,4,98.23
Coyhaique,4,98.01
Concepción,4,96.95
Curanilahue,4,96.88
Valparaíso,4,96.34
Chillán,4,95.35
Arica,4,94.21
Santiago,4,93.09
Vallenar,4,92.85
Iquique,4,92.65
Antofagasta,4,92.38
Arica,4,90.63
Punta Arenas,4,90.61
Curicó,4,89.78
Calama,4,89.49
Talca,4,89.32
Copiapó,4,88.45
Linares,4,87.89
Peñaflor,4,87.38
La Serena,4,87.26
Osorno,4,85.99
Vallenar,4,85.71
Valdivia,4,85.59
Talca,4,85.43
Peñaflor,4,85.19
Quillota,4,84.61
Puerto Montt,4,84.58
Lota,4,83.20
Osorno,4,83.03
Valparaíso,4,82.67
Punta Arenas,4,81.97
Talcahuano,4,81.45
San Antonio,4,81.27
Iquique,4,81.05
Antofagasta,4,79.01
Ovalle,4,78.56
Melipilla,4,78.52
Temuco,4,78.12
Antofagasta,4,78.12
San Fernando,4,77.82
Quilpué,4,77.08
Santiago,4,76.80
San Antonio,4,76.66
La Serena,4,76.66
Calama,4,75.90
Vallenar,4,75.83
Linares,4,75.44
Osorno,4,74.35
Vallenar,4,74.02
Temuco,4,73.77
Valdivia,4,72.99
Colina,4,72.27
Colina,4,71.12
Rancagua,4,70.80
Santiago,4,70.61
Coronel,4,70.35
Angol,4,69.99
Puerto Montt,4,68.99
Antofagasta,4,68.96
Linares,4,68.87
Melipilla,4,68.66
Temuco,4,68.33
Talcahuano,4,68.31
Calama,4,66.50
Curanilahue,4,66.36
San Fernando,4,66.28
Penco,4,66.04
San Fernando,4,65.33
Linares,4,65.25
Chillán,4,65.19
Valdivia,4,64.77
Ovalle,4,64.51
San Antonio,4,64.40
Curicó,4,63.67
La Serena,4,63.65
La Serena,4,63.52
Quillota,4,63.39
Quilpué,4,62.34
Copiapó,4,61.07
Talca,4,61.02
Santiago,4,60.31
La Serena,4,60.18
Melipilla,4,58.90
Peñaflor,4,57.79
Copiapó,4,56.89
Linares,4,56.61
Talca,4,56.10
Colina,4,55.79
La Serena,4,54.71
Los Ángeles,4,54.16
San Antonio,4,53.50
Angol,4,52.71
Quillota,4,51.71
Angol,4,51.55
Curanilahue,4,51.15
Colina,4,49.57
Angol,4,49.47
Penco,4,48.61
Arica,4,47.25
Santiago,4,46.48
Peñaflor,4,45.93
Punta Arenas,4,45.69
Valdivia,4,45.58
Puerto Montt,4,45.57
Valparaíso,4,44.96
Linares,4,44.55
Curanilahue,4,43.91
Quillota,4,43.81
Temuco,4,43.33
Arica,4,42.46
Santiago,4,40.96
Rancagua,4,40.81
Temuco,4,40.53
Peñaflor,4,40.46
Calama,4,39.51
Villa Alemana,4,39.40
Coronel,4,39.22
Villa Alemana,4,38.60
Rancagua,4,38.42
Iquique,4,38.41
Valdivia,4,38.00
Valdivia,4,37.98
Quillota,4,37.94
Valparaíso,4,37.75
Valparaíso,4,36.90
Angol,4,36.34
Peñaflor,4,33.86
Antofagasta,4,33.68
Quilpué,4,32.35
Los Ángeles,4,31.87
Curicó,4,31.13
Villa Alemana,4,30.76
Concepción,4,30.61
Coyhaique,4,30.50
Villa Alemana,4,30.40
Concepción,4,30.08
Puerto Montt,4,29.45
Chillán,4,28.58
Calama,4,27.55
Concepción,4,26.96
Talca,4,26.60
Penco,4,26.06
Puerto Montt,4,24.91
Coronel,4,24.50
Antofagasta,4,23.92
Santiago,4,23.37
Coyhaique,4,22.85
Concepción,4,22.78
Angol,4,22.61
Copiapó,4,22.54
Puerto Montt,4,21.97
Calama,4,21.89
Iquique,4,21.88
Punta Arenas,4,21.84
Ovalle,4,21.26
Coyhaique,4,21.24
Quillota,4,20.85
Rancagua,4,20.67
Linares,4,20.58
La Serena,4,20.47
Valdivia,4,18.31
Curicó,4,17.64
Coyhaique,4,16.25
Rancagua,4,16.09
Talca,4,15.79
Curanilahue,4,15.70
Santiago,4,15.47
Chillán,4,15.18
Temuco,4,14.93
San Fernando,4,14.57
Curicó,4,14.57
Curanilahue,4,14.32
Peñaflor,4,13.99
Quillota,4,12.79
Rancagua,4,12.44
Coronel,4,11.58
Puerto Montt,4,11.56
Talcahuano,4,11.51
Chillán,4,10.38
Penco,4,10.05
Punta Arenas,3,98.90
Curicó,3,98.21
Melipilla,3,97.97
Valparaíso,3,97.76
Copiapó,3,97.73
Santiago,3,97.54
Puerto Montt,3,97.12
Quillota,3,96.44
Rancagua,3,95.89
Quilpué,3,95.75
Penco,3,95.74
Penco,3,95.47
Vallenar,3,94.88
Osorno,3,94.21
San Fernando,3,92.76
Ovalle,3,92.66
Curicó,3,92.37
Valdivia,3,92.26
Angol,3,92.19
Quilpué,3,91.98
Valdivia,3,90.07
Calama,3,89.92
Penco,3,89.85
Antofagasta,3,89.70
Antofagasta,3,89.59
Talca,3,88.99
Quilpué,3,88.18
Penco,3,88.15
Ovalle,3,87.42
Peñaflor,3,87.27
Chillán,3,87.05
Concepción,3,86.98
Linares,3,86.90
Linares,3,86.77
Valdivia,3,85.55
Puerto Montt,3,85.30
Osorno,3,85.21
Los Ángeles,3,84.57
Puerto Montt,3,83.95
Linares,3,83.61
San Antonio,3,83.51
Rancagua,3,82.59
Curicó,3,82.26
Colina,3,81.43
Curanilahue,3,81.20
Curicó,3,80.93
Osorno,3,80.52
Valparaíso,3,79.69
Punta Arenas,3,79.42
Curicó,3,79.15
Valdivia,3,78.78
Peñaflor,3,78.36
San Antonio,3,77.66
La Serena,3,76.69
Curicó,3,75.80
Valparaíso,3,74.83
Rancagua,3,74.78
Lota,3,74.71
Melipilla,3,73.81
Punta Arenas,3,73.73
Valparaíso,3,73.64
Concepción,3,73.24
Coronel,3,72.77
Penco,3,72.62
Curanilahue,3,72.35
Rancagua,3,71.96
Antofagasta,3,71.76
Vallenar,3,71.12
Colina,3,69.96
Rancagua,3,69.81
Concepción,3,69.20
Coronel,3,68.77
Concepción,3,68.77
Calama,3,68.27
Colina,3,67.67
Lota,3,67.52
Arica,3,67.49
Antofagasta,3,66.77
Villa Alemana,3,66.72
Osorno,3,65.68
Coronel,3,64.90
Calama,3,64.37
Quillota,3,64.28
Valdivia,3,61.61
Talca,3,61.09
Colina,3,60.82
Villa Alemana,3,60.41
Villa Alemana,3, 
Valparaíso,3, 
Valdivia,3, 
Talcahuano,3, 
Talca,3,59.84
Quilpué,3, 
Punta Arenas,3, 
Punta Arenas,3, 
Punta Arenas,3, 
Punta Arenas,3, 
Peñaflor,3, 
Penco,3, 
Ovalle,3, 
Osorno,3, 
Los Ángeles,3, 
Los Ángeles,3, 
Linares,3, 
Curicó,3, 
Curicó,3, 
Concepción,3, 
Chillán,3, 
Osorno,3,59.35
Quillota,3,58.27
Temuco,3,57.63
Penco,3,55.97
Curicó,3,55.75
Quillota,3,55.57
Curanilahue,3,55.51
Valparaíso,3,54.99
Curanilahue,3,54.26
Talca,3,53.64
Melipilla,3,50.96
Colina,3,50.74
Chillán,3,50.04
Los Ángeles,3,49.76
Los Ángeles,3,49.63
Villa Alemana,3,48.63
Temuco,3,48.57
Curicó,3,47.41
Curanilahue,3,46.72
Arica,3,45.86
Curicó,3,45.69
Antofagasta,3,44.70
Quillota,3,44.60
Penco,3,44.39
Osorno,3,44.20
Talcahuano,3,44.10
Los Ángeles,3,43.88
Colina,3,43.31
Valparaíso,3,42.16
Arica,3,41.87
Temuco,3,41.66
Chillán,3,40.51
Penco,3,39.27
Copiapó,3,38.87
Melipilla,3,38.05
Arica,3,38.03
Penco,3,37.95
Puerto Montt,3,37.54
Vallenar,3,37.01
Melipilla,3,36.00
Puerto Montt,3,35.26
Calama,3,34.62
Osorno,3,34.24
Vallenar,3,34.18
Vallenar,3,33.56
Curicó,3,33.26
Ovalle,3,32.64
Quillota,3,32.30
San Antonio,3,31.71
Concepción,3,31.30
Rancagua,3,29.56
Vallenar,3,29.50
Punta Arenas,3,28.91
Quilpué,3,28.31
Rancagua,3,26.70
Valdivia,3,24.65
Antofagasta,3,24.08
Concepción,3,23.88
Temuco,3,23.84
Quilpué,3,23.17
San Fernando,3,22.91
Melipilla,3,22.91
Peñaflor,3,21.87
Puerto Montt,3,21.64
Linares,3,21.45
Valdivia,3,21.19
Valdivia,3,20.87
Talcahuano,3,18.59
Linares,3,18.00
Temuco,3,17.28
La Serena,3,16.78
Osorno,3,16.12
Coronel,3,15.75
Angol,3,15.58
Coronel,3,15.14
Coronel,3,15.05
Santiago,3,14.34
Angol,3,13.93
Rancagua,3,13.66
Quilpué,3,13.35
Copiapó,3,13.22
Talcahuano,3,13.10
Curanilahue,3,11.93
Penco,3,11.91
Vallenar,3,11.04
Villa Alemana,3,10.76
Penco,3,10.25
La Serena,2,99.90
Concepción,2,99.81
Osorno,2,99.62
Osorno,2,99.39
Valdivia,2,99.19
Osorno,2,98.72
Copiapó,2,97.95
Santiago,2,97.66
Lota,2,94.21
Osorno,2,92.28
Chillán,2,92.06
Penco,2,91.70
San Antonio,2,90.76
Curanilahue,2,90.13
Temuco,2,90.08
Punta Arenas,2,89.86
Antofagasta,2,89.85
Vallenar,2,89.24
La Serena,2,89.10
Chillán,2,88.80
Melipilla,2,88.32
Curanilahue,2,87.72
Curanilahue,2,86.30
Melipilla,2,85.82
Coronel,2,85.63
Temuco,2,85.61
Osorno,2,85.29
Antofagasta,2,84.94
Coronel,2,84.07
Antofagasta,2,83.87
Copiapó,2,83.37
Vallenar,2,82.82
San Antonio,2,82.34
Arica,2,81.27
Angol,2,80.88
Concepción,2,80.86
Antofagasta,2,79.32
Valparaíso,2,78.33
Penco,2,78.16
Ovalle,2,77.39
Los Ángeles,2,76.99
Peñaflor,2,76.49
Arica,2,75.69
Calama,2,74.94
La Serena,2,74.52
Vallenar,2,74.05
Talcahuano,2,73.40
Coyhaique,2,73.10
Arica,2,72.83
Linares,2,71.85
Lota,2,71.75
Talcahuano,2,71.32
Puerto Montt,2,70.14
Valparaíso,2,69.96
Lota,2,68.41
Peñaflor,2,68.08
Angol,2,67.81
Los Ángeles,2,67.44
Linares,2,66.92
Ovalle,2,64.47
San Fernando,2,63.75
Lota,2,62.29
Lota,2,61.86
Chillán,2,60.95
Quilpué,2,60.71
Iquique,2,60.44
Los Ángeles,2,59.46
Quilpué,2,58.60
Coyhaique,2,58.43
Curicó,2,58.21
Antofagasta,2,57.87
Arica,2,56.43
Coyhaique,2,55.60
Quillota,2,55.24
Punta Arenas,2,55.21
Calama,2,54.97
Ovalle,2,54.66
Ovalle,2,54.54
Chillán,2,54.50
San Antonio,2,54.07
San Antonio,2,53.33
Temuco,2,52.43
Quillota,2,52.18
Vallenar,2,51.45
Santiago,2,51.43
Chillán,2,51.33
Curicó,2,51.28
Copiapó,2,50.99
Iquique,2,50.45
San Antonio,2,49.73
Temuco,2,49.01
Antofagasta,2,48.82
Punta Arenas,2,48.18
La Serena,2,48.17
Valdivia,2,47.56
Arica,2,47.10
Villa Alemana,2,46.65
Villa Alemana,2,46.24
Rancagua,2,46.22
Vallenar,2,45.90
Copiapó,2,45.53
Calama,2,45.40
Arica,2,45.13
Valdivia,2,44.73
Colina,2,44.68
Osorno,2,44.36
Coronel,2,43.56
Concepción,2,43.34
Lota,2,43.31
Linares,2,43.27
Temuco,2,42.75
Colina,2,42.65
Coyhaique,2,41.03
Quillota,2,40.27
Los Ángeles,2,38.13
Chillán,2,37.88
Chillán,2,37.35
Quillota,2,37.25
Osorno,2,36.86
Vallenar,2,36.69
Angol,2,35.56
Ovalle,2,35.33
Ovalle,2,35.30
Chillán,2,35.05
Temuco,2,34.20
San Fernando,2,33.93
Iquique,2,33.42
Santiago,2,31.89
Arica,2,31.77
Angol,2,31.15
Curicó,2,31.02
Peñaflor,2,30.72
Valdivia,2,30.60
Puerto Montt,2,29.80
Talca,2,29.77
Copiapó,2,29.73
Rancagua,2,28.57
Valdivia,2,27.99
Temuco,2,27.64
Ovalle,2,25.91
Talcahuano,2,25.67
Punta Arenas,2,25.55
Colina,2,25.46
Colina,2,25.08
Vallenar,2,23.14
Quillota,2,22.99
Angol,2,21.74
Valdivia,2,21.39
Santiago,2,20.32
Curanilahue,2,19.73
Osorno,2,18.78
Arica,2,18.76
Punta Arenas,2,17.54
Osorno,2,17.43
Concepción,2,16.61
Copiapó,2,16.55
Linares,2,15.84
Lota,2,14.75
Calama,2,14.65
Rancagua,2,13.56
San Antonio,2,10.56
Vallenar,2, 
Vallenar,2, 
Temuco,2, 
Talcahuano,2, 
Santiago,2, 
Santiago,2, 
Quillota,2, 
Punta Arenas,2, 
Puerto Montt,2, 
Melipilla,2, 
Melipilla,2, 
Los Ángeles,2, 
Curanilahue,2, 
Coronel,2, 
Concepción,2, 
Concepción,2, 
Colina,2, 
Chillán,2, 
Arica,2, 
Arica,2, 
Iquique,1,99.72
Villa Alemana,1,99.47
San Antonio,1,99.38
Valparaíso,1,98.91
Valparaíso,1,98.23
Arica,1,97.72
Colina,1,96.83
Valdivia,1,96.51
Angol,1,95.98
Quilpué,1,95.92
Peñaflor,1,95.83
Coronel,1,95.26
Angol,1,94.99
Osorno,1,94.42
Villa Alemana,1,93.20
Linares,1,92.88
Concepción,1,92.85
Curanilahue,1,92.41
Antofagasta,1,92.41
Temuco,1,92.36
Talca,1,92.19
Calama,1,89.67
Iquique,1,89.65
Valparaíso,1,89.21
Talcahuano,1,88.83
Villa Alemana,1,88.73
Santiago,1,88.38
Angol,1,88.30
Colina,1,87.92
Quillota,1,87.10
Temuco,1,86.90
Peñaflor,1,85.86
Colina,1,85.32
Osorno,1,85.16
Ovalle,1,85.13
Curicó,1,84.61
Colina,1,83.92
Osorno,1,83.38
Valdivia,1,83.10
Talca,1,82.52
Arica,1,82.34
Coronel,1,82.05
Colina,1,81.64
Curicó,1,81.52
Angol,1,80.42
Angol,1,80.23
Penco,1,80.13
Punta Arenas,1,80.07
Antofagasta,1,80.02
Rancagua,1,79.15
Coyhaique,1,78.84
San Fernando,1,78.53
Villa Alemana,1,77.44
Villa Alemana,1,76.99
Linares,1,76.89
Quilpué,1,76.82
San Fernando,1,76.54
Villa Alemana,1,76.49
Iquique,1,75.05
La Serena,1,74.78
Arica,1,73.93
Colina,1,73.88
Linares,1,73.63
Punta Arenas,1,73.59
Villa Alemana,1,73.37
Calama,1,73.31
Los Ángeles,1,73.23
Concepción,1,73.18
Concepción,1,73.13
Curanilahue,1,72.43
Linares,1,72.05
San Fernando,1,71.87
Valparaíso,1,71.84
Melipilla,1,71.71
Concepción,1,71.67
Linares,1,71.03
Concepción,1,70.99
Curicó,1,70.89
Linares,1,70.63
San Fernando,1,70.52
Angol,1,69.94
Melipilla,1,69.83
Penco,1,69.73
Curicó,1,69.56
Peñaflor,1,69.45
Vallenar,1,68.67
Iquique,1,68.40
Colina,1,67.97
Puerto Montt,1,67.96
Punta Arenas,1,67.91
Peñaflor,1,66.46
Angol,1,65.81
Penco,1,65.77
Quilpué,1,65.75
Coronel,1,64.90
Lota,1,63.63
Coronel,1,63.21
Villa Alemana,1,62.46
Temuco,1,61.90
Rancagua,1,61.78
Melipilla,1,61.26
Temuco,1,60.83
Temuco,1,60.58
Valparaíso,1,59.12
Iquique,1,58.56
Chillán,1,58.30
Quilpué,1,58.02
Quilpué,1,56.35
Ovalle,1,56.15
Colina,1,55.42
Quilpué,1,55.33
Penco,1,55.30
Angol,1,54.21
Antofagasta,1,54.16
Iquique,1,54.09
Peñaflor,1,52.57
La Serena,1,52.19
San Antonio,1,51.84
Ovalle,1,51.68
San Antonio,1,50.73
Linares,1,50.65
Coronel,1,50.43
Valdivia,1,49.99
Colina,1,49.85
Curanilahue,1,49.39
Copiapó,1,49.38
Santiago,1,49.31
Rancagua,1,48.24
Santiago,1,47.78
Penco,1,47.74
Talca,1,46.52
Rancagua,1,46.00
Talcahuano,1,44.70
Temuco,1,43.88
Quillota,1,43.43
Angol,1,43.18
Valdivia,1,42.95
Vallenar,1,41.82
Osorno,1,41.65
Coronel,1,41.17
San Fernando,1,40.81
Concepción,1,40.15
Arica,1,39.80
Linares,1,39.69
Valparaíso,1,39.68
Talcahuano,1,38.95
Chillán,1,38.87
Valdivia,1,36.98
La Serena,1,36.87
San Fernando,1,36.57
Coyhaique,1,35.73
Coronel,1,35.59
San Antonio,1,34.60
Lota,1,33.98
Penco,1,33.92
Linares,1,32.18
Linares,1,31.96
San Fernando,1,31.19
La Serena,1,30.42
San Antonio,1,29.94
Santiago,1,29.66
Angol,1,29.57
Coyhaique,1,29.46
Chillán,1,28.84
Ovalle,1,28.68
Rancagua,1,27.29
San Antonio,1,26.79
Concepción,1,26.62
Melipilla,1,26.40
Temuco,1,25.96
Coyhaique,1,24.47
Los Ángeles,1,24.03
Lota,1,23.95
Chillán,1,23.06
Puerto Montt,1,22.55
Coronel,1,22.00
Melipilla,1,21.53
Quillota,1,21.47
Angol,1,20.86
Antofagasta,1,20.51
San Antonio,1,20.42
Copiapó,1,19.92
Concepción,1,19.84
Copiapó,1,19.72
Arica,1,19.52
Vallenar,1,19.16
Los Ángeles,1,18.55
Punta Arenas,1,18.52
Lota,1,18.49
Peñaflor,1,17.74
Iquique,1,17.10
Quilpué,1,16.85
Ovalle,1,16.57
Calama,1,15.79
Colina,1,15.33
Arica,1,14.29
San Antonio,1,13.59
Coyhaique,1,12.52
Talcahuano,1,10.76
La Serena,1,10.64
Curanilahue,1,10.53
Valdivia,1, 
Talca,1, 
Talca,1, 
Rancagua,1, 
Quilpué,1, 
Quilpué,1, 
Quilpué,1, 
Quilpué,1, 
Puerto Montt,1, 
Peñaflor,1, 
Peñaflor,1, 
Melipilla,1, 
Melipilla,1, 
Lota,1, 
Linares,1, 
La Serena,1, 
Iquique,1, 
Coyhaique,1, 
Copiapó,1, 
Colina,1, 
Colina,1, 
Chillán,1, 
Calama,1, 
Arica,1, 
Antofagasta,1, 
Angol,1, 
,0,0.00
,0,0.00
,0,0.00
,0,0.00
